"Judge","Sentence","JudgeTerrible"
"Terrible",16.5956391954536,1
"Tender",13.5803890049052,0
"Terrible",12.1783731696536,1
"Tender",4.7463783840459,0
"Terrible",15.378565227423,1
"Tender",10.644786083272,0
"Terrible",13.0759350547342,1
"Tender",7.10671765279158,0
"Terrible",5.44500810191599,1
"Tender",7.41402781612369,0
"Terrible",10.7323596037045,1
"Tender",16.6562532169694,0
"Terrible",11.3808590996632,1
"Tender",6.78769704369386,0
"Terrible",8.76106478137698,1
"Tender",2.40644038502566,0
"Terrible",10.0149092662107,1
"Tender",6.75289760943462,0
"Terrible",13.403943934677,1
"Tender",10.1326094277195,0
"Terrible",11.866284237086,1
"Tender",6.94537876899728,0
"Terrible",9.23075173228861,1
"Tender",14.2006780914993,0
"Terrible",13.1443618915387,1
"Tender",13.9632735140851,0
"Terrible",12.203329143228,1
"Tender",7.06913279475732,0
"Terrible",9.73556948773071,1
"Tender",8.31007347388173,0
"Terrible",12.3240230010941,1
"Tender",13.3441446286536,0
"Terrible",7.94220139923996,1
"Tender",11.7746060133601,0
"Terrible",17.7157147227817,1
"Tender",10.6273064678027,0
"Terrible",15.2489679217884,1
"Tender",8.77480527782342,0
"Terrible",4.73872151824181,1
"Tender",8.70096715998342,0
"Terrible",12.1378976140907,1
"Tender",11.1763094301592,0
"Terrible",8.48180789448708,1
"Tender",13.6356573274904,0
"Terrible",16.305786925665,1
"Tender",10.0956938693888,0
"Terrible",11.9561874676348,1
"Tender",5.74066586463551,0
"Terrible",16.8341795933273,1
"Tender",6.87075189713009,0
"Terrible",10.6543466479586,1
"Tender",13.9966558267909,0
"Terrible",8.5903427621138,1
"Tender",8.22410125019017,0
"Terrible",13.8235165241209,1
"Tender",6.53374571387535,0
"Terrible",14.1745157012507,1
"Tender",5.77764564815201,0
"Terrible",13.1459670491665,1
"Tender",11.6656995058771,0
"Terrible",12.4738018561863,1
"Tender",12.9444936029528,0
"Terrible",14.5964405912956,1
"Tender",7.65828561193772,0
"Terrible",15.7740859906706,1
"Tender",6.43117291326439,0
"Terrible",12.3849554880458,1
"Tender",3.22472650120008,0
"Terrible",15.5388413474468,1
"Tender",9.19417192018763,0
"Terrible",12.2003271147514,1
"Tender",13.903735021961,0
"Terrible",10.5232260171003,1
"Tender",11.406244898415,0
"Terrible",13.8986121630205,1
"Tender",9.21554526262373,0
"Terrible",11.883320747833,1
"Tender",7.0776585496188,0
"Terrible",12.3320029425614,1
"Tender",3.92122661240817,0
"Terrible",10.9397740449843,1
"Tender",12.8957263316758,0
"Terrible",11.4465419472075,1
"Tender",9.66388758974124,0
"Terrible",12.9266558032533,1
"Tender",15.4407557469329,0
"Terrible",10.9762802241958,1
"Tender",8.56542519883731,0
"Terrible",4.65858498548519,1
"Tender",9.54687196729846,0
"Terrible",17.2931879690289,1
"Tender",11.1008528218969,0
"Terrible",13.0464922459205,1
"Tender",10.7637764239571,0
"Terrible",11.0948377177764,1
"Tender",12.6553307999281,0
"Terrible",10.6522397726549,1
"Tender",12.445729123367,0
"Terrible",11.0852730345577,1
"Tender",9.14666519123627,0
"Terrible",14.7272065196139,1
"Tender",10.6482977514895,0
"Terrible",13.4517174653576,1
"Tender",11.147376866716,0
"Terrible",8.40080860530192,1
"Tender",5.87018666529456,0
"Terrible",13.7131062398954,1
"Tender",10.2251890049719,0
"Terrible",12.8120499778801,1
"Tender",8.93070192000198,0
"Terrible",10.1071089400335,1
"Tender",6.34595694994683,0
"Terrible",10.2148300284695,1
"Tender",13.2746587711125,0
"Terrible",11.792945322406,1
"Tender",7.79783475623416,0
"Terrible",13.5066338179381,1
"Tender",12.9111154194062,0
"Terrible",12.2489294158249,1
"Tender",10.8279371553282,0
"Terrible",14.9590290267232,1
"Tender",11.5316469078706,0
"Terrible",8.1567949636678,1
"Tender",13.5983042323035,0
"Terrible",8.27799785721061,1
"Tender",9.26104832412695,0
"Terrible",11.9462485807042,1
"Tender",10.7521798552908,0
"Terrible",12.5442246437435,1
"Tender",8.56647895460155,0
"Terrible",14.5753429409844,1
"Tender",10.5799303223322,0
"Terrible",10.2423266223403,1
"Tender",9.99401613263546,0
"Terrible",12.8466019673784,1
"Tender",10.0028499327211,0
"Terrible",10.8211611303909,1
"Tender",13.113194135679,0
"Terrible",10.2815523533968,1
"Tender",12.4944565768329,0
"Terrible",11.5180968237141,1
"Tender",6.50767777910406,0
"Terrible",15.2635449749905,1
"Tender",7.31766528210538,0
"Terrible",17.159975252649,1
"Tender",7.70571030268533,0
"Terrible",13.5808503074522,1
"Tender",5.76868106835744,0
"Terrible",8.62400784670779,1
"Tender",14.3917280969763,0
"Terrible",11.3411324226831,1
"Tender",13.1452246246386,0
"Terrible",13.4775481263229,1
"Tender",5.29885548197999,0
"Terrible",14.0821860959439,1
"Tender",8.70003161772053,0
"Terrible",15.5191673569506,1
"Tender",7.59677959388358,0
"Terrible",16.7158680820922,1
"Tender",8.83170244313393,0
"Terrible",12.0760352364239,1
"Tender",7.87897990101648,0
"Terrible",7.75464064121183,1
"Tender",14.9317821691693,0
"Terrible",14.1095568413353,1
"Tender",5.48918304589845,0
"Terrible",9.98235174536294,1
"Tender",12.145075608892,0
"Terrible",9.43166472970878,1
"Tender",13.3978271017248,0
"Terrible",12.1899597703672,1
"Tender",5.13639226451239,0
"Terrible",16.6568241277279,1
"Tender",13.5604090172591,0
"Terrible",11.7366521599522,1
"Tender",9.15679924677159,0
"Terrible",10.3996370704717,1
"Tender",12.8760349461874,0
"Terrible",6.34934245234689,1
"Tender",8.0769451331469,0
"Terrible",12.8593377825453,1
"Tender",11.4465944299642,0
"Terrible",10.8553096380802,1
"Tender",8.51403920004864,0
"Terrible",10.7966562785248,1
"Tender",14.0250232143219,0
"Terrible",11.180576208465,1
"Tender",12.3657791447222,0
"Terrible",11.373757282171,1
"Tender",13.4794010348076,0
"Terrible",14.0655705611851,1
"Tender",9.35825395989478,0
"Terrible",11.0073254263805,1
"Tender",10.2963787636213,0
"Terrible",15.1063565402877,1
"Tender",2.83244620676628,0
"Terrible",10.9110386035484,1
"Tender",17.094518905701,0
"Terrible",9.69555892926733,1
"Tender",4.9006882571609,0
"Terrible",9.79626669506109,1
"Tender",13.8593017391994,0
"Terrible",10.2113054420179,1
"Tender",6.19620420343676,0
"Terrible",14.7722408792851,1
"Tender",8.82903019452918,0
"Terrible",10.3892877948747,1
"Tender",13.3975742607337,0
"Terrible",18.3766023499099,1
"Tender",8.25022148804168,0
